array_type,size,algorithm,kind,time_ms,char_ops
almost,1100,StringQuickSort,specialized,0.038178,10058
almost,1100,StringMergeSort,specialized,0.345273,4155
almost,1100,MsdRadixSort,specialized,0.075863,2449
almost,1100,MsdRadixQuickSort,specialized,0.061827,6023
almost,1200,StandardQuickSort,standard,0.044621,16297
almost,1200,StandardMergeSort,standard,0.353175,12339
almost,1200,StringQuickSort,specialized,0.033676,11013
almost,1200,StringMergeSort,specialized,0.338395,4633
almost,1200,MsdRadixSort,specialized,0.106421,2676
almost,1200,MsdRadixQuickSort,specialized,0.087753,6628
almost,1300,StandardQuickSort,standard,0.058009,17846
almost,1300,StandardMergeSort,standard,0.372852,13409
almost,1300,StringQuickSort,specialized,0.042456,12248
almost,1300,StringMergeSort,specialized,0.441657,5002
almost,1300,MsdRadixSort,specialized,0.126048,2901
almost,1300,MsdRadixQuickSort,specialized,0.086880,7175
almost,1400,StandardQuickSort,standard,0.086757,19475
almost,1400,StandardMergeSort,standard,0.744058,14287
almost,1400,StringQuickSort,specialized,0.111915,13124
almost,1400,StringMergeSort,specialized,0.811312,5368
almost,1400,MsdRadixSort,specialized,0.235384,3124
almost,1400,MsdRadixQuickSort,specialized,0.201974,7742
almost,1500,StandardQuickSort,standard,0.166689,21376
almost,1500,StandardMergeSort,standard,0.825721,16058
almost,1500,StringQuickSort,specialized,0.122152,14188
almost,1500,StringMergeSort,specialized,0.926531,5888
almost,1500,MsdRadixSort,specialized,0.261410,3346
almost,1500,MsdRadixQuickSort,specialized,0.212807,8300
almost,1600,StandardQuickSort,standard,0.165492,22829
almost,1600,StandardMergeSort,standard,0.828471,17210
almost,1600,StringQuickSort,specialized,0.129494,15236
almost,1600,StringMergeSort,specialized,0.947332,6344
almost,1600,MsdRadixSort,specialized,0.268078,3571
almost,1600,MsdRadixQuickSort,specialized,0.214815,8836
almost,1700,StandardQuickSort,standard,0.180437,24357
almost,1700,StandardMergeSort,standard,0.919942,18257
almost,1700,StringQuickSort,specialized,0.146716,16827
almost,1700,StringMergeSort,specialized,1.007703,6714
almost,1700,MsdRadixSort,specialized,0.283187,3798
almost,1700,MsdRadixQuickSort,specialized,0.232942,9377
almost,1800,StandardQuickSort,standard,0.190810,26075
almost,1800,StandardMergeSort,standard,0.968112,19687
almost,1800,StringQuickSort,specialized,0.153117,17423
almost,1800,StringMergeSort,specialized,1.070696,7233
almost,1800,MsdRadixSort,specialized,0.301415,4028
almost,1800,MsdRadixQuickSort,specialized,0.250946,9955
almost,1900,StandardQuickSort,standard,0.204867,27899
almost,1900,StandardMergeSort,standard,1.019710,21115
almost,1900,StringQuickSort,specialized,0.164307,18589
almost,1900,StringMergeSort,specialized,1.139983,7771
almost,1900,MsdRadixSort,specialized,0.307380,4250
almost,1900,MsdRadixQuickSort,specialized,0.259439,10506
almost,2000,StandardQuickSort,standard,0.220438,29979
almost,2000,StandardMergeSort,standard,1.087280,22346
almost,2000,StringQuickSort,specialized,0.179067,19686
almost,2000,StringMergeSort,specialized,1.232740,8188
almost,2000,MsdRadixSort,specialized,0.349142,4473
almost,2000,MsdRadixQuickSort,specialized,0.288739,11078
almost,2100,StandardQuickSort,standard,0.227534,31242
almost,2100,StandardMergeSort,standard,1.137080,23051
almost,2100,StringQuickSort,specialized,0.185789,20813
almost,2100,StringMergeSort,specialized,1.317889,8591
almost,2100,MsdRadixSort,specialized,0.346929,4697
almost,2100,MsdRadixQuickSort,specialized,0.285450,11630
almost,2200,StandardQuickSort,standard,0.243112,32780
almost,2200,StandardMergeSort,standard,1.270330,24446
